Gene,Drug,RxNorm,ATC,Guideline,CPICLevel,CPICLevelStatus,PharmGKBLevel,FDALabel,PMID
CETP,fluvastatin,41127,C10AA04,,D,Provisional,3,,
LPA,fluvastatin,41127,C10AA04,,D,Provisional,,,
ADD1,furosemide,4603,C03CA01,,D,Provisional,3,,
NT5C2,gemcitabine,12574,L01BC05,,D,Provisional,3,,
NEDD4L,hydrochlorothiazide,5487,"C03AA03, C03AB03, C09DX01, C09DX03, C09XA52, C03EA01, C03AX01, G01AE10, C09XA54",,D,Provisional,3,,
PRKCA,hydrochlorothiazide,5487,"C03AA03, C03AB03, C09DX01, C09DX03, C09XA52, C03EA01, C03AX01, G01AE10, C09XA54",,D,Provisional,3,,
YEATS4,hydrochlorothiazide,5487,"C03AA03, C03AB03, C09DX01, C09DX03, C09XA52, C03EA01, C03AX01, G01AE10, C09XA54",,D,Provisional,3,,
CBR3,idarubicin,5650,L01DB06,,D,Provisional,,,
HAS3,idarubicin,5650,L01DB06,,D,Provisional,,,
C8orf34,irinotecan,51499,L01XX19,,D,Provisional,3,,
SEMA3C,irinotecan,51499,L01XX19,,D,Provisional,3,,
UGT1A4,lamotrigine,28439,N03AX09,,D,Provisional,3,,
PTGFR,latanoprost,43611,S01EE01,,D,Provisional,3,,
C11orf65,metformin,6809,A10BA02,,D,Provisional,4,,
ATIC,methotrexate,6851,"L01BA01, L04AX03",,D,Provisional,2B,,
MTRR,methotrexate,6851,"L01BA01, L04AX03",,D,Provisional,3,,
CYB5R1,metoclopramide,6915,A03FA01,,D,Provisional,,Actionable PGx,
CYB5R2,metoclopramide,6915,A03FA01,,D,Provisional,,Actionable PGx,
CYB5R3,metoclopramide,6915,A03FA01,,D,Provisional,,Actionable PGx,
CYB5R4,metoclopramide,6915,A03FA01,,D,Provisional,,Actionable PGx,
FKBP5,mirtazapine,15996,N06AX11,,D,Provisional,3,,
CCHCR1,nevirapine,53654,J05AG01,,D,Provisional,3,,
CHRNA3,nicotine,7407,N07BA01,,D,Provisional,3,,
ANKK1,olanzapine,61381,N05AH03,,D,Provisional,3,,
GSTM1,oxaliplatin,32592,L01XA03,,D,Provisional,3,,
GSTP1,oxaliplatin,32592,L01XA03,,D,Provisional,3,,
FKBP5,paroxetine,32937,N06AB05,,D,Provisional,3,,
HTR1A,paroxetine,32937,N06AB05,,D,Provisional,3,,
VDR,peginterferon alfa-2b,253453,"L03AB10, L03AB60",,D,Provisional,3,,
CETP,pravastatin,42463,C10AA03,,D,Provisional,3,,
HMGCR,pravastatin,42463,C10AA03,,D,Provisional,3,,
KIF6,pravastatin,42463,C10AA03,,D,Provisional,2B,,
LPA,pravastatin,42463,C10AA03,,D,Provisional,,,
FDPS,raloxifene,72143,G03XC01,,D,Provisional,,,
VDR,ribavirin,9344,J05AB04,,D,Provisional,3,,
FDPS,risedronate,73056,M05BA07,,D,Provisional,,,
ANKK1,risperidone,35636,N05AX08,,D,Provisional,3,,
FCGR3A,rituximab,121191,L01XC02,,D,Provisional,2B,,
COQ2,rosuvastatin,301542,C10AA07,,D,Provisional,3,,
LPA,rosuvastatin,301542,C10AA07,,D,Provisional,3,,
ADRB2,salbutamol,435,"R03AC02, R03CC02",,D,Provisional,3,,
COL22A1,salbutamol,435,"R03AC02, R03CC02",,D,Provisional,3,,
CRHR2,salbutamol,435,"R03AC02, R03CC02",,D,Provisional,3,,
ADRB2,salmeterol,36117,R03AC12,,D,Provisional,2A,,
GNB3,sildenafil,136411,G04BE03,,D,Provisional,3,,
CETP,simvastatin,36567,"C10AA01, C10BA02, C10BX04, A10BH51, C10BA04, C10BX01",,D,Provisional,3,,
HMGCR,simvastatin,36567,"C10AA01, C10BA02, C10BX04, A10BH51, C10BA04, C10BX01",,D,Provisional,3,,
LPA,simvastatin,36567,"C10AA01, C10BA02, C10BX04, A10BH51, C10BA04, C10BX01",,D,Provisional,,,
ADD1,spironolactone,9997,C03DA01,,D,Provisional,3,,
ABCC4,tenofovir,117466,J05AF,,D,Provisional,3,,
CRHR1,triamcinolone,10759,"A01AC01, C05AA12, D07AB09, D07XB02, H02AB08, R01AD11, R03BA06, S01BA05",,D,Provisional,,,
FKBP5,venlafaxine,39786,N06AX16,,D,Provisional,3,,
CALU,warfarin,11289,B01AA03,,D,Provisional,3,,
GGCX,warfarin,11289,B01AA03,,D,Provisional,3,,
PROC,warfarin,11289,B01AA03,,D,Provisional,,Actionable PGx,
PROS1,warfarin,11289,B01AA03,,D,Provisional,,Actionable PGx,
